UF,Sigla,Pedido,Depósito,Título,Linguagem,Campo de Aplicação,Tipo Programa,Nome do Titular:,Nome do Autor,Nome do Procurador:,,
Ceará,UECE,BR 51 2019 001845 1,23/08/2019,Conta Kg,CSS / HTML / JAVA SCRIPT, ED-04, ET-02,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,MANDA MARIA DOMINGOS DE OLIVEIRA / CARLOS MATHEUS SOUZA VIANA / DENNYS LEITE MAIA / DÉBORA KAROLINE SILVA DE AZEVEDO / FRANCISCA WELLINGDA LEAL DA SILVA / GABRIEL VIEIRA BARRETO / GARDNER DE ANDRADE ARRAIS / GELLY VIANA MOTA / HAGLIBERTO ALVES DE OLIVEIRA / HENRIQUE MARASCHIN GRANJA / LUCAS DE MEDEIROS FERREIRA / LUÍS EDUARDO ANUNCIADO SILVA / MIKAELLA BARACHO FERREIRA / RAFAELA DE FATIMA SANTOS DA SILVA / SAMUEL DANTAS BATISTA / THAIAN ASSIS DE MORAES,-,,
Ceará,UECE,BR 51 2019 001834 6,22/08/2019,LETRA LIVRE 2.0,JAVA, ED-04, ET-02,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,AMANDA MARIA DOMINGOS DE OLIVEIRA / DENNYS LEITE MAIA / ISIS RAMONA MEDEIROS DA CUNHA / JOSERLENE LIMA PINHEIRO / JOSÉ VERÍSSIMO DO NASCIMENTO FILHO / JOÃO BATISTA CARVALHO NUNES / MARIA LUCIMARA RODRIGUES DA SILVA CRUZ,-,,
Ceará,UECE,BR 51 2019 001504 5,16/07/2019,Trat-C,CSS / HTML / JAVA SCRIPT,SD-06,FA-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, FRANCISCO SÉRGIO RANGEL DE PAULA PESSOA,-,,
Ceará,UECE,BR 51 2019 001143 0,11/06/2019,Mecanismo online de Criação de Questões: MOCQ,JAVA SCRIPT,ED-03 / ED-06,AP-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, FRANCISCO WKERLYSON PEREIRA BATISTA / IGOR LIMA RODRIGUES / MARIA WILDA FERNANDES FELIPE / WOSLEY MENDES ROCHA,-,,
Ceará,UECE,BR 51 2019 000446 9,14/03/2019,OBAMA - Objetos de Aprendizagem para Matemática,CSS / HTML / JAVA / JAVA SCRIPT, ED-04,FA-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, AMANDA MARIA DOMINGOS DE OLIVEIRA / ANA CLÁUDIA NUNES SILVA / CLÉSIA JORDÂNIA NUNES DA COSTA / DANILO DO CARMO DE SOUZA / DENNYS LEITE MAIA / DÉBORA KAROLINE SILVA DE AZEVEDO / ELVIS MEDEIROS DE MELO / FRANCISCA WELLINGDA LEAL DA SILVA / JOSERLENE LIMA PINHEIRO / MARCILIA CHAGAS BARRETO / MARIA LUZIENE DA SILVA AZEVEDO BANDEIRA / NASSARA MAIA CABRAL CARDOSO GOMES / NELSON ION DE OLIVEIRA / PAULO CÉSAR DA SILVA BATISTA / RODOLFO ARAÚJO DE CARVALHO / RODRIGO RODRIGUES MELO DE LIMA / SAMUEL DANTAS BATISTA,-,,
Ceará,UECE,BR 51 2018 000198 0,16/02/2018,SisAcadPG - Sistema de Gestão Acadêmica para Pós-Graduação,JAVA/ OUTROS,IF-07,"  AP-01, GI-01, SO-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DIOGO AGUIAR LIMA / GUILHERME LIMA FAÇANHA / MARIELA INÉS CORTES,-,,
Ceará,UECE,BR 51 2017 001163 0,29/08/2017, BE-SYS: SISTEMA E-HEALTH EM BIG-DATA PARA ANÁLISE E DETECÇÃO DE RISCO DE CHOQUE SÉPTICO EM PACIENTES ADULTOS,C++ / JAVA,SD-05,"  AV-01, FA-01", FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ, FRANCISCO LEONARDO JALES MARTINS / JOAQUIM CELESTINO JÚNIOR, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2017 001159 1,29/08/2017,TPCREATOR - UMA FERRAMENTA PARA CRIAÇÃO DE TOPOLOGIA NO OPEN STACK,JAVA/ PYTHON, TC-04,"  CD-05 , SM-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,   BRUNO LOPES ALCÂNTARA BATISTA / FILIPE FERANDES DOS SANTOS BRASIL DE MATOS / JOAQUIM CELESTINO JÚNIOR / JOÃO GONÇALVES FILHO, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2017 001161 3,29/08/2017,SONA: ARQUITETURA PARA FATIAMENTO DE REDES ÓPTICAS DEFINIDAS POR SOFTWARE,JAVA, TC-04,CD-05,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, JOAQUIM CELESTINO JÚNIOR / TIAGO PORTELA DE SOUZA, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2017 001162 1,29/08/2017,SIMTOPOLOGY: UM SIMULADOR DE REDE PARA TESTES DE PROTOCOLOS,C, TC-04," SM-01 , TI-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DANIEL SUCUPIRA LIMA / FILIPE FERANDES DOS SANTOS BRASIL DE MATOS / FÁBIO DE SOUZA CERQUEIRA / JOAQUIM CELESTINO JÚNIOR / JOSÉ HENRIQUE BRANDAO NETO / JOÃO GONÇALVES FILHO / MANUEL RUI PESSOA DE PAULA / SILVIO ROBERTO MARTINS AMARANTE, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2017 001160 5,29/08/2017,MIB YANG DO OTN-SWITCH, UML / YANG, TC-04,"CD-05 , CD-05",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, JEFFERSON GOMES DE ALCÂNTARA / JOAQUIM CELESTINO JÚNIOR, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2017 000815 9,06/07/2017,SOMATOCALC,JAVA,SD-01," AP-01 , AV-01, FA-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ANDRÉ ACCIOLLY NOGUEIRA MACHADO / ANDRÉ ALVES MAIA / CHRISTINA PACHECO SANTOS MARTIN / FRANCISCO SERGIO LOPES VASCONCELOS FILHO / JOÃO FILHO FREIRE LOPES / PAULA MATIAS SOARES / ROBERTA CRISTINA DA ROCHA E SILVA / WELTON DANIEL NOGUEIRA GODINHO, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2016 001737 6,16/12/2016,UP SOFTWARE,ACESS,SD-02 / SD-03/ SD-05 / SD-06/ SD-09," AP-01 , FA-04 , GI-01 , SO-02 , SO-05",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,JOÃO PAULO CAMELO MENEZES, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2015 001227 4,28/10/2015,APP DNAQUIZ: RECURSO DIDÁTICO PARA O ENSINO DE BIOLOGIA MOLECULAR,ADT, BL-01/ BL-02 / BL-03 / BL-07/ ED-04,"  AP-01 , GI-05 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, CHRISTINA PACHECO SANTOS MARTIN / JULIANA OSÓRIO ALVES / LUCAS LIMA VIEIRA / PAULA MATIAS SOARES / STELA MIRLA DA SILVA FELIPE / VÂNIA MARILANDE CECCATTO / ÂNGELO FILIPE DO AMARAL ACÁCIO, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2015 001228 2,28/10/2015,GENE COLLECTOR,JAVA, BL-01 / BL-02 / BL-03 / BL-07 / ED-04,"AP-01 , GI-05 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTONIO ALMIR ARAUJO NETO / CHRISTINA PACHECO SANTOS MARTIN / JHONY LUCAS CAVALCANTE DA SILVA / JULIANA OSÓRIO ALVES / MILCA MAGALHÃES DIAS DE CARVALHO SOARES / RENATO PEDROSA VASCONCELOS / SAMUEL GONÇALVES LOPES / STELA MIRLA DA SILVA FELIPE / VÂNIA MARILANDE CECCATTO / WILLYANE DE PAIVA SILVA, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,BR 51 2015 001113 8,01/10/2015,SISTEMA CASULO- GESTÃO DE INCUBADORAS,JAVA, AD-02 / AD-05 / AD-11 / EC-14 / IF-10,"  AP-02 , AP-03 , AV-01 , SO-07 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, DANIEL DUARTE PONTES / JULIANA DOS SANTOS ANDRADE / MARIA JOSÉ BARBOSA GOMES / MARIANA CHAVES ANTENOR,-,,
Ceará,UECE,BR 51 2015 001112 0,01/10/2015,SISTEMA DE EVENTOS - SISEVENTOS, JAVA EE 1.6, AD-01 / AD-02 / AD-04,"AT-06 , ET-01 , GI-01 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, LUANNA ALVES FALCÃO / MARIA WILDA FERNANDES FELIPE / PABLO BRUNO DE MOURA NÓBREGA, SAMUEL FAÇANHA CÂMARA,,
Ceará,UECE,12679-2,16/11/2011,AVALERE,JAVA, ED-03 / ED-04 / ED-06,AV-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE, ANTONO GERMANO MAGALHÃES JUNIOR / ANTÔNIO MÁRCIO SOUSA MARTINS / HÉLIO AUGUSTO SABÓIA MOURA / IGOR LIMA RODRIGUES / MARCIUS GOMES BRANDÃO / MARIA WILDA FERNANDES FELIPE,ALOMA VERÔNICA BERNARDO MEIRELES PESSOA,,
Ceará,UECE,12383-2,30/09/2011,GERENCIADOR DE DEMANDAS E OFERTAS TECNOLÓGICAS - DOT, HTML / JAVASCRIPT / PHP, AD-05 / EC-05,GI-01,FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,  LUIZ EDUARDO DOS SANTOS TAVARES / MARIA CLARA SIDOU MONTEIRO / RODRIGO GATO TÁVORA,-,,
Ceará,UECE,08860-6,20/05/2008,HEMOÇÃO, ACTIONSCRIPT / JAVA,BL-01 / BL-05 / ED-01," ET-02 , SM-01 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,DIANA MAGALHÃES DE OLIVEIRA / ITALO MOREIRA CAMPELO MAIA / MARCILIA PINHEIRO DA COSTA / MICHELY CORREIA DINIZ / RANIERY MEMÓRIA ALVES / ÁTILA CORREIA CUNHA, LUIZ EDUARDO DOS SANTOS TAVARES,,
Ceará,UECE,08859-0,20/05/2008,PHYLOTREE,JAVA, BL-01 / BL-02," SM-01 , TC-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE,ANA LUIZA BESSA DE PAULA BARROS / DIANA MAGALHÃES DE OLIVEIRA / GERARDO VALDISIO RODRIGUES VIANA / ITALO MOREIRA CAMPELO MAIA / TARIANA MARA FERNANDES BATISTA,  LUIZ EDUARDO DOS SANTOS TAVARES,,
Ceará,UFCA,BR 51 2023 003573 4	,20/11/2023,Sistema Gerenciador de Reuniões Universitárias (SGRU),JAVA SCRIPT,AD-02,SO-02, UNIVERSIDADE FEDERAL DO CARIRI-UFCA, CICERO WESLEY SUARES FEITOSA / RAFAEL PERAZZO BARBOSA MOTA,-,,
Ceará,UFCA,BR 51 2023 002690 5,12/09/2023,Hestia - Controle de Chaves,CSS / HTML / JAVA SCRIPT / MYSQL / PHP, IF-07, GI-01, UNIVERSIDADE FEDERAL DO CARIRI-UFCA, LUCAS LEMOS MONTEIRO / PEDRO HENRIQUE LOPES DOS SANTOS / THIAGO BESSA PONTES,-,,
Ceará,UFCA,BR 51 2023 001972 0,04/07/2023,	RT-PanelPlacer,PYTHON,  CC-04,SM-04, UNIVERSIDADE FEDERAL DO CARIRI-UFCA,ANTÔNIO MARCOS CRUZ DA PAZ,-,,
Ceará,UFCA,BR 51 2021 001615 7	,15/07/2021,Combinador de Preditores de Séries Temporais,R,IN-02 ,  DS-05,UNIVERSIDADE FEDERAL DO CARIRI / UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO, ADEMIR BATISTA DOS SANTOS NETO / PAULO RENATO ALVES FIRMINO / TIAGO ALESSANDRO ESPINOLA FERREIRA,-,,
Ceará,UFCA,BR 51 2020 002641 9,26/11/2020,"MESOR-PandPred (Epidemics Manager)",CSS / HTML / JAVA SCRIPT / PHP / R, AD-01 / AD-02 / AD-04 / AD-05 / IF-07 / MT-06/ SD-02 / SD-03 / SD-08,"AP-01 , AP-02 , FA-04 , GI-04 , IA-02 , SM-01 , SO-02 , TC-01 , TC-02", UNIVERSIDADE FEDERAL DO CARIRI-UFCA,  FLÁVIO MURILO DE CARVALHO LEAL / LUCAS SOUSA SANTOS / LUCIANO ALVES VIEIRA / PAULO RENATO ALVES FIRMINO / SAMUEL FERNANDES VILAR,-,,
Ceará,UFCA,BR 51 2020 002521 8,13/11/2020,	COVID19 - CARIRI,JAVA, SD-01," AP-01 , GI-01", UNIVERSIDADE FEDERAL DO CARIRI-UFCA, RAFAEL PERAZZO BARBOSA MOTA,-,,
Ceará,UFC,BR 51 2024 003480 3,20/09/2024,MoveDor,OUTROS, SD-06,AP-01, UNIVERSIDADE FEDERAL DO CEARÁ,ANA CARLA LIMA NUNES / DAVI GOMES FLORENCIO / FABIANNA RESENDE DE JESUS MORALEIDA / MARDESON HERCULANO ACÁCIO / MYSLENIA PINHEIRO DE OLIVEIRA / REGIS PIRES MAGALHÃES / THALITA MARIA FIRMINO DE MOURA,-,,
Ceará,UFC, BR 51 2024 002940 0,14/08/2024, AMO: AMBIENTE DE MONITORIA ON-LINE, CSS / DJANGO / HTML / JAVA SCRIPT / NODEJS / PYTHON, IN-02,AP-01, UNIVERSIDADE FEDERAL DO CEARÁ,  ALANIS OLIVEIRA SANTOS / FELIPE CESAR DE SOUSA SILVA / FELIPE GOMES DA SILVA / HERON RODRIGUES DE OLIVEIRA / PATRÍCIA FREITAS CAMPOS DE VASCONCELOS / PEDRO HENRIQUE DE SOUSA ALCÂNTARA,-,,
Ceará,UFC,BR 51 2024 002909 5,12/08/2024,"VeriDoggo - detecção, extração e verificação facial para cães",PYTHON, AG-10 / IF-02 / IF-10,"  IA-01 , TC-03 , TC-04", UNIVERSIDADE FEDERAL DO CEARÁ,JOAO PEDRO BERNARDINO ANDRADE / JOSÉ GILVAN RODRIGUES MAIA / LEONARDO FERREIRA DA COSTA / LUCAS DE SOUSA FERNANDES / PAULO ANTONIO LEAL REGO,-,,
Ceará,UFC,BR 51 2024 001731 3,24/05/2024,MIDR - Medidor de Irregularidades e Defeitos em Rodovias, OUTROS / PYTHON, CC-04, TC-04, UNIVERSIDADE FEDERAL DO CEARÁ, HAIKEL BUGANEM BUSGAIB GONÇALVES / JORGE BARBOSA SOARES / LUCAS FEITOSA DE ALBUQUERQUE LIMA BABADOPULOS / RAUL SARAIVA BEZERRA,-,,
Ceará,UFC,BR 51 2024 000834 9,15/03/2024,CND-Banana Nanica,C#, AG-09," AP-01 , DS-04 , FA-01 , TC-01",UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO / UNIVERSIDADE FEDERAL DO CEARÁ - UFC,ANTONIO JOÃO DE LIMA NETO / DANILO EDUARDO ROZANE / EDUARDO MACIEL HAITZMANN DOS SANTOS / JOSÉ ARIDIANO LIMA DE DEUS / MARCIO CLEBER DE MEDEIROS CORREA / WILLIAM NATALE,  Nayara de Cassia Gaban,,
Ceará,UFC,BR 51 2024 000782 2,13/03/2024,Rottas,OUTROS,IF-10 / TP-02 / TP-03," AP-01 , FA-01 , IA-01",FUNDAÇÃO UNIVERSIDADE ESTADUAL DO CEARÁ - FUNECE / UNIVERSIDADE FEDERAL DO CEARÁ,FRANCISCO LAURINDO COSTA JUNIOR / ISMAYLE DE SOUSA SANTOS / MARCOS PATRICK SARAIVA DA SILVA / MATHEUS DE ALMEIDA ESTEBAN / RENAN MENDES FROTA / ROSSANA MARIA DE CASTRO ANDRADE,-,,
Ceará,UFC,BR 51 2024 000681 8,06/03/2024,FIGAT - Fingerprint Image Generation and Augmentation Tool,  C++ / SHELL SCRIPT,          IF-04 / IF-10," FA-01 , TC-04 , UT-01", UNIVERSIDADE FEDERAL DO CEARÁ,JOSÉ GILVAN RODRIGUES MAIA / PAULO ANTONIO LEAL REGO,-,,
Ceará,UFC,BR 51 2024 000313 4,02/02/2024,Observatório de Dados Abertos dos Sertões de Crateús,HTML / JAVA SCRIPT, AD-04 / CO-02 / IF-02 / IF-10,AP-01, UNIVERSIDADE FEDERAL DO CEARÁ, AMANDA DRIELLY PIRES VENCESLAU / DIEFESSON DE SOUSA SILVA / EMANOEL BEZERRA ALVES / LISIEUX MARIE MARINHO DOS SANTOS ANDRADE / MARCIEL BARROS PEREIRA,-,,
Ceará,UFC,BR 51 2024 000262 6,29/01/2024,SIRM2C - Sistema Integrado de Realidade Mista para Comando e Controle, JAVA / JAVA SCRIPT / NODEJS, SV-01,GI-01,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS - MDIC / UNIVERSIDADE FEDERAL DA BAHIA - UFBA / UNIVERSIDADE FEDERAL DE PERNAMBUCO / UNIVERSIDADE FEDERAL DO CEARÁ - UFC / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE - UFRN",ALISON HEDIGLIRANS DA SILVA / ANDERSON APOLÔNIO LIRA QUEIROZ / CLEITIANNE OLIVEIRA DA SILVA / DAVID JUNIO MOTA CAVALCANTI / EDUARDO SANTANA DE ALMEIDA / EVILASIO COSTA JUNIOR / FREDERICO ARAÚJO DA SILVA LOPES / IGOR NASCIMENTO DOS SANTOS / KELVIN LOPES DIAS / LEONANDRO VALÉRIO BARBOSA GURGEL / LEOPOLDO MOTTA TEIXEIRA / MARIA KATARINE SANTANA BARBOSA / NÉLIO ALESSANDRO AZEVEDO CACHO / ROSSANA MARIA DE CASTRO ANDRADE / STEFANO MOMO LOSS / THIAGO SANTANA VAILLANT,-,,
Ceará,UFC,BR 51 2024 000082 8,10/01/2024,LIMA AGRISEGURANÇA,OUTROS, AG-01 / AG-02 / AG-06,AP-01, UNIVERSIDADE FEDERAL DO CEARÁ,LEONARDO DE ALMEIDA MONTEIRO,-,,
Ceará,UFC,BR 51 2023 003497 5,14/11/2023,Repositório da RIEH - frontend,  CSS / HTML / JAVA SCRIPT / OUTROS, ED-03,GI-01," CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAÍBA / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ", ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / ELENILSON VIEIRA DA SILVA FILHO / GENTIL ÁLYSON JÁCOME FERNANDES / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / IRLAN ARLEY TARGINO MOREIRA / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / MANOEL DO BONFIM LINS DE AQUINO / RANILSON OSCAR ARAÚJO PAIVA / SEIJI ISOTAN / THOMAZ EDSON VELOSO DA SILVA / WASHINGTON HENRIQUE CARVALHO ALMEIDA / YASMIN CARVALHO TARGINO DE ALENCAR,-,,
Ceará,UFC,BR 51 2023 003336 7,01/11/2023,D-Learn: um jogo educacional digital para ensino de Arquitetura de Software,JAVA SCRIPT / NODEJS / OUTROS, ED-06,ET-01, UNIVERSIDADE FEDERAL DO CEARÁ, ANNA BEATRIZ DOS SANTOS MARQUES / LUIS OTÁVIO LIMA CAMINHA,-,,
Ceará,UFC,BR 51 2023 003335 9,01/11/2023,QoL Monitor,JAVA / OUTROS,  IF-10 / IN-02 / SD-01 / SD-06,"AP-01 , FA-01 , IA-01", UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO PIAUÍ (UFPI), PEDRO ALMIR MARTINS DE OLIVEIRA / PEDRO DE ALCÂNTARA DOS SANTOS NETO / ROSSANA MARIA DE CASTRO ANDRADE,-,,
Ceará,UFC,BR 51 2023 003188 7,23/10/2023,Adotaí: Adoção de animais,CSS / HTML / JAVA SCRIPT / NODEJS / OUTROS,  IN-02,AP-01, UNIVERSIDADE FEDERAL DO CEARÁ, EMANUEL MAXIMILIANO PIRILO LIMA SOUSA / PATRÍCIA FREITAS CAMPOS DE VASCONCELOS,-,,
Ceará,UFC,BR 51 2023 002840 1,20/09/2023,Plugin do Moodle: Autenticação com o GOV.BR,CSS / JAVA SCRIPT / PHP, ED-03,GI-01,"CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / EDUARDO HENRIQUE OLIMPIO DE GUSMÃO / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / RANILSON OSCAR ARAÚJO PAIVA / RODOLFO SENA DA PENHA / SAULO RUFINO DE SÁ / SEIJI ISOTANI / THIAGO HENRIQUE FREIRE DE OLIVEIRA / WAGNER DE OLIVEIRA / WASHINGTON HENRIQUE CARVALHO ALMEIDA,-,,
Ceará,UFC,BR 51 2023 002831 2,20/09/2023,Plugin do Moodle: Tema do Moodle da Rede de Inovação para Educação Híbrido,CSS / HTML / JAVA SCRIPT / NODEJS / OUTROS, ED-03,GI-01,"CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / EDUARDO HENRIQUE OLIMPIO DE GUSMÃO / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / RANILSON OSCAR ARAÚJO PAIVA / RODOLFO SENA DA PENHA / SAULO RUFINO DE SÁ / SEIJI ISOTANI / THIAGO HENRIQUE FREIRE DE OLIVEIRA / WAGNER DE OLIVEIRA / WASHINGTON HENRIQUE CARVALHO ALMEIDA,-,,
Ceará,UFC,BR 51 2023 002826 6,20/09/2023,Plugin do Moodle: Integração do Moodle com o Sistema Administrativo da Rede de Inovação para Educação Híbrido.,CSS / JAVA SCRIPT / PHP, ED-03,GI-01,"CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / EDUARDO HENRIQUE OLIMPIO DE GUSMÃO / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / RANILSON OSCAR ARAÚJO PAIVA / RODOLFO SENA DA PENHA / SAULO RUFINO DE SÁ / SEIJI ISOTANI / THIAGO HENRIQUE FREIRE DE OLIVEIRA / WAGNER DE OLIVEIRA / WASHINGTON HENRIQUE CARVALHO ALMEIDA,-,,
Ceará,UFC,BR 51 2023 002811 8,19/09/2023,Plugin do Moodle: Bloco de Sumário de Curso, JAVA SCRIPT / OUTROS / PHP, ED-03,GI-01,"CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / EDUARDO HENRIQUE OLIMPIO DE GUSMÃO / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / RANILSON OSCAR ARAÚJO PAIVA / RODOLFO SENA DA PENHA / SAULO RUFINO DE SÁ / SEIJI ISOTANI / THIAGO HENRIQUE FREIRE DE OLIVEIRA / WAGNER DE OLIVEIRA / WASHINGTON HENRIQUE CARVALHO ALMEIDA,-,,
Ceará,UFC,BR 51 2023 002807 0,19/09/2023,Plugin do Moodle: Bloco de RSS para moodle, JAVA SCRIPT / OUTROS / PHP, ED-03,GI-01,"CESAR - CENTRO DE ESTUDOS E SISTEMAS AVANÇADOS DO RECIFE / INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE - IFRN / UNIVERSIDADE DE SÃO PAULO / UNIVERSIDADE FEDERAL DE ALAGOAS / UNIVERSIDADE FEDERAL DO CEARÁ / UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE",ALAN PEDRO DA SILVA / ALUÍSIO IGOR RÊGO FONTES / DIEGO DERMEVAL MEDEIROS DA CUNHA MATOS / EDUARDO HENRIQUE OLIMPIO DE GUSMÃO / IBSEN MATEUS BITTENCOURT SANTANA PINTO / IG IBERT BITTENCOURT SANTANA PINTO / JEFERSON QUEIROGA PEREIRA / LEONARDO BRANDÃO MARQUES / RANILSON OSCAR ARAÚJO PAIVA / RODOLFO SENA DA PENHA / SAULO RUFINO DE SÁ / SEIJI ISOTANI / THIAGO HENRIQUE FREIRE DE OLIVEIRA / WAGNER DE OLIVEIRA / WASHINGTON HENRIQUE CARVALHO ALMEIDA,-,,
